prompt_id,model_name,control,mode,delta_i_values,ngram_novelty_values,char_entropy_values,qa_failure,reasoning_failures
qa000,microsoft/phi-2,none,natural_long,[0.19643676280975342],[0.5119047619047619],"[4.458698183365615, 4.46267142689353]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa001,microsoft/phi-2,none,natural_long,"[0.32127463817596436, 0.2877658009529114, 0.21083712577819824, 0.1816803216934204, 0.2864205837249756, 0.2653566002845764, 0.1781826615333557, 0.20706641674041748]","[0.5643564356435643, 0.48598130841121495, 0.5145631067961165, 0.5142857142857142, 0.514018691588785, 0.44680851063829785, 0.4177215189873418, 0.547945205479452]","[4.493079867201155, 4.336946182020581, 4.338623672089156, 4.4557692420050445, 4.391868480598051, 4.323051469901821, 4.386576007792797, 4.497895544520519, 4.5505168429514455]",True,"{'incoherence': False, 'contradiction': True, 'repetition': False}"
qa002,microsoft/phi-2,none,natural_long,[],[],[4.569225831082146],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa003,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa004,microsoft/phi-2,none,natural_long,[],[],[4.51162129715754],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa005,microsoft/phi-2,none,natural_long,[],[],[4.402876028854523],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa006,microsoft/phi-2,none,natural_long,"[0.1920207142829895, 0.1587660312652588]","[0.5454545454545454, 0.5164835164835165]","[4.386640648260789, 4.430785825966457, 4.450944474393124]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa007,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa008,microsoft/phi-2,none,natural_long,"[0.09589135646820068, 0.3122521638870239, 0.1042940616607666]","[0.49, 0.5384615384615384, 0.4639175257731959]","[4.3257681784053394, 4.306283700839326, 4.257324931345905, 4.286028664044079]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa009,microsoft/phi-2,none,natural_long,[],[],[4.437013412058118],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa010,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa011,microsoft/phi-2,none,natural_long,[],[],[4.369615325016727],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa012,microsoft/phi-2,none,natural_long,[],[],[4.45771366785012],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa013,microsoft/phi-2,none,natural_long,"[0.2781177759170532, 0.1775416135787964, 0.17155414819717407, 0.19731217622756958, 0.1286880373954773, 0.27053356170654297, 0.2651550769805908, 0.29832327365875244, 0.2914031147956848, 0.1500697135925293]","[0.4074074074074074, 0.4745762711864407, 0.589041095890411, 0.532608695652174, 0.41237113402061853, 0.504950495049505, 0.4117647058823529, 0.27848101265822783, 0.35802469135802467, 0.33766233766233766]","[4.2929116508688185, 4.403888446435153, 4.599945526972351, 4.487651492699346, 4.255733195346067, 4.212739794157598, 4.295969153974607, 4.336264880986108, 4.29338974665284, 4.349733002246089, 4.347380117212505]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa014,microsoft/phi-2,none,natural_long,"[0.22868865728378296, 0.20607221126556396, 0.060307860374450684, 0.2154216766357422, 0.07953250408172607]","[0.5, 0.5, 0.5252525252525253, 0.4842105263157895, 0.5425531914893617]","[4.346946173275447, 4.3779899925174215, 4.413260255411419, 4.39694334271546, 4.3112070154164295, 4.307435310760493]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa015,microsoft/phi-2,none,natural_long,[0.2165614366531372],[0.5531914893617021],"[4.412957476660543, 4.392545141494843]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa016,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa017,microsoft/phi-2,none,natural_long,"[0.22277015447616577, 0.21313291788101196, 0.24061322212219238, 0.20463484525680542, 0.3524929881095886, 0.4849635362625122, 0.3789268136024475, 0.25776612758636475, 0.28823530673980713, 0.39347851276397705]","[0.5252525252525253, 0.504950495049505, 0.5151515151515151, 0.4948453608247423, 0.5263157894736842, 0.5247524752475248, 0.4845360824742268, 0.5319148936170213, 0.5104166666666666, 0.3815789473684211]","[4.316264518184582, 4.327251153305787, 4.4098639001159, 4.372611285014976, 4.3322427453418335, 4.335280630749012, 4.392954279017763, 4.42388548307907, 4.4394120650028235, 4.366406691075255, 4.56181738643152]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa018,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa019,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa020,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa021,microsoft/phi-2,none,natural_long,"[0.15507888793945312, 0.13033753633499146, 0.12892037630081177, 0.187019944190979, 0.17672216892242432, 0.3397313952445984, 0.3018222451210022, 0.21895796060562134, 0.11936062574386597, 0.22141283750534058]","[0.49504950495049505, 0.4895833333333333, 0.5306122448979592, 0.5, 0.5392156862745098, 0.4857142857142857, 0.5327102803738317, 0.4811320754716981, 0.4948453608247423, 0.53125]","[4.329484663565636, 4.337962683967908, 4.4086266620726695, 4.402798709396793, 4.36252744100486, 4.3562614904076975, 4.3771468010764085, 4.311470365728199, 4.296984623554545, 4.3667398924589, 4.352718325080597]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa022,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa023,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa024,microsoft/phi-2,none,natural_long,"[0.18154305219650269, 0.12270182371139526, 0.11329680681228638, 0.15425413846969604, 0.4236132502555847, 0.304416298866272]","[0.5151515151515151, 0.5098039215686274, 0.4857142857142857, 0.3977272727272727, 0.5217391304347826, 0.5625]","[4.281163231826802, 4.322329353936141, 4.273654895095449, 4.263409339969792, 4.429614254196994, 4.467294574394514, 4.418926424964048]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa025,microsoft/phi-2,none,natural_long,"[0.08768630027770996, 0.11696797609329224, 0.1079486608505249, 0.25510334968566895, 0.048203885555267334, 0.09099364280700684, 0.2183777093887329, 0.29045408964157104, 0.20857512950897217, 0.11788326501846313]","[0.48598130841121495, 0.46464646464646464, 0.49, 0.4948453608247423, 0.5154639175257731, 0.5294117647058824, 0.5185185185185185, 0.41304347826086957, 0.44776119402985076, 0.4090909090909091]","[4.284532995831317, 4.332214166900746, 4.361288289740177, 4.303171450771985, 4.359947652688657, 4.39623600467054, 4.379607142906483, 4.32782930221326, 4.636639169854226, 4.822600699646202, 4.7615594154940295]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa026,microsoft/phi-2,none,natural_long,"[0.2235400676727295, 0.151037335395813, 0.2544479966163635, 0.2513740658760071, 0.2889799475669861, 0.17155945301055908, 0.2298470139503479, 0.23924368619918823, 0.5397486686706543, 0.16626399755477905]","[0.5, 0.4673913043478261, 0.5176470588235295, 0.5287356321839081, 0.5612244897959183, 0.49514563106796117, 0.4639175257731959, 0.5274725274725275, 0.5353535353535354, 0.49]","[4.261272383988924, 4.234692333988133, 4.397535019737307, 4.437202740803129, 4.345898473681361, 4.2606413991554515, 4.2360332728428, 4.36014459902049, 4.4182919290754405, 4.415360413316222, 4.3459304689026155]",True,"{'incoherence': False, 'contradiction': True, 'repetition': False}"
qa027,microsoft/phi-2,none,natural_long,"[0.11319881677627563, 0.28483450412750244, 0.09778690338134766, 0.48063957691192627, 0.16801589727401733, 0.19964206218719482]","[0.5742574257425742, 0.48598130841121495, 0.5145631067961165, 0.4631578947368421, 0.5434782608695652, 0.5247524752475248]","[4.3281431935956585, 4.298285630391689, 4.324873750459576, 4.317367707032586, 4.3469501504762365, 4.423363877459089, 4.345955097761469]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa028,microsoft/phi-2,none,natural_long,[],[],[4.4327579982508505],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa029,microsoft/phi-2,none,natural_long,"[0.13349038362503052, 0.15987807512283325, 0.4535887837409973, 0.27446621656417847, 0.3139868378639221, 0.1364406943321228, 0.1785913109779358, 0.10388898849487305, 0.1994609832763672, 0.11875975131988525]","[0.4897959183673469, 0.55, 0.49019607843137253, 0.5204081632653061, 0.4948453608247423, 0.5104166666666666, 0.5157894736842106, 0.5533980582524272, 0.4857142857142857, 0.5242718446601942]","[4.331576277236215, 4.393406409218531, 4.323890746172682, 4.276605281717653, 4.322687246753686, 4.330275537749919, 4.337381554673167, 4.358093507112651, 4.362750360867963, 4.278412116516248, 4.252428540298724]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa030,microsoft/phi-2,none,natural_long,[],[],[4.605855301606783],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa031,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa032,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa033,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa034,microsoft/phi-2,none,natural_long,[],[],[4.524908301570394],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa035,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa036,microsoft/phi-2,none,natural_long,[],[],[4.451665446638174],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa037,microsoft/phi-2,none,natural_long,"[0.30925923585891724, 0.11227810382843018, 0.2294788360595703, 0.27124422788619995, 0.19058138132095337, 0.2946472764015198, 0.22703641653060913]","[0.37777777777777777, 0.47619047619047616, 0.5319148936170213, 0.43820224719101125, 0.5058823529411764, 0.5176470588235295, 0.5376344086021505]","[4.444237789513525, 4.409767037095153, 4.506274908135146, 4.475885635315248, 4.397736026227914, 4.462045743360331, 4.482088142703766, 4.405521334379504]",False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
