prompt_id,model_name,control,mode,eci_raw,eci_residualized,early_eci_raw,effective_ranks,participation_ratios,variances,window_starts,window_ends
qa000,microsoft/phi-2,none,natural_long,0.05060648918151854,0.05060648918151854,0.05060648918151854,"[94.06896209716797, 97.30777740478516]","[64.68260192871094, 71.2315673828125]","[1.2294921875, 1.3232421875]","[0, 64]","[128, 192]"
qa001,microsoft/phi-2,none,natural_long,-0.002398542563120526,-0.002398542563120526,0.010373008251190183,"[99.190673828125, 101.47186279296875, 101.42987060546875, 101.4175796508789, 102.0110855102539, 103.82698822021484, 104.27620697021484, 101.64939880371094, 94.72940063476562]","[70.5785140991211, 74.18994140625, 74.90105438232422, 76.35612487792969, 77.35355377197266, 80.0032730102539, 80.55011749267578, 78.48283386230469, 68.00411987304688]","[1.2626953125, 1.294921875, 1.2626953125, 1.328125, 1.396484375, 1.4169921875, 1.357421875, 1.34765625, 1.23828125]","[0, 64, 128, 192, 256, 320, 384, 448, 512]","[128, 192, 256, 320, 384, 448, 512, 576, 640]"
qa002,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[94.99909210205078],[63.497135162353516],[1.1416015625],[0],[128]
qa003,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa004,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[95.87274169921875],[65.8709487915039],[1.2001953125],[0],[128]
qa005,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[95.41429138183594],[64.90345764160156],[1.169921875],[0],[128]
qa006,microsoft/phi-2,none,natural_long,-0.007909476757049559,-0.007909476757049559,-0.007909476757049559,"[99.7431869506836, 99.46528625488281, 98.73077392578125]","[72.13818359375, 72.64771270751953, 73.03913879394531]","[1.287109375, 1.3388671875, 1.3544921875]","[0, 64, 128]","[128, 192, 256]"
qa007,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa008,microsoft/phi-2,none,natural_long,0.0009477853775024404,0.0009477853775024404,0.0009477853775024404,"[97.69640350341797, 99.58753204345703, 99.47865295410156, 97.93489074707031]","[67.76899719238281, 72.69227600097656, 72.25666809082031, 71.06619262695312]","[1.2060546875, 1.298828125, 1.2724609375, 1.2333984375]","[0, 64, 128, 192]","[128, 192, 256, 320]"
qa009,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[95.28881072998047],[64.85857391357422],[1.1650390625],[0],[128]
qa010,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[],[],[],[],[]
qa011,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[96.43090057373047],[67.68583679199219],[1.2353515625],[0],[128]
qa012,microsoft/phi-2,none,natural_long,0.0,0.0,0.0,[95.81460571289062],[67.00944519042969],[1.2197265625],[0],[128]
